AttuNet,FCN,PoFormer,LRASPP,E-Net,U-Net
3.594345775,11.54155619,2.113367094,4.26147626,3.802437041,3.992146093
4.124850996,11.49552122,2.148650257,3.636708483,4.244645249,4.350297268
3.48888687,11.79505447,2.332873404,3.513666678,3.778140709,5.178289074
3.524142407,11.50928393,2.31667868,3.631104186,4.057985779,4.011967909
3.423108596,11.99000882,2.411409616,3.588869657,3.571065318,3.853546131
3.627432592,11.44203627,2.38914117,3.522290077,3.559851427,4.086399484
5.256670564,11.82568963,2.200486235,3.446517214,3.542022441,4.024411462
3.642862607,11.57892378,2.052057477,3.452158052,3.940684203,4.289515194
3.718556382,11.20785381,2.261485897,4.109191332,3.52269122,3.909764417
4.045611776,11.85690102,3.866198996,3.720850743,3.679484155,3.844776507
3.424837489,11.43757996,2.868962709,3.942766119,3.827413835,4.360153075
3.619839177,12.07846025,2.367726313,3.555828586,3.618888095,5.085277036
4.431162298,11.59392014,2.148634747,3.54150328,4.797960512,4.582876649
3.915794071,11.08450137,1.93548766,3.672218654,4.820304494,5.708096448
3.24299236,11.61965825,1.918309348,3.60364271,3.851514522,4.186692081
4.157768641,11.51797037,2.193666354,6.854634237,3.485409107,4.535226546
4.587128621,11.31816522,2.352770125,3.579441778,3.313895691,3.732389886
3.405623872,11.32792717,2.057554804,3.535643518,3.346440479,3.656752951
3.236595333,11.15399034,1.999739239,3.484821755,3.302312061,3.683865268
3.36050117,10.90511733,1.955746554,4.235659353,3.312078103,3.747966651
4.722493496,11.22662893,2.057384482,3.577557009,3.458435917,3.741409317
4.308488768,10.9136548,2.203409359,3.652261212,3.475138448,3.826514918
3.511064913,11.29291292,2.286488792,3.544565618,3.538765337,4.035159659
3.315367606,11.22891557,2.094698653,3.452069189,3.72256821,3.675875336
3.250287145,10.91165052,1.988259474,3.38577693,3.513039563,3.634894006
3.459328603,11.68204755,2.201344309,3.543480229,3.567184087,3.723045018
4.009593606,12.10670596,2.124900764,3.518581167,4.039553845,4.678605229
3.416028839,11.34089454,2.272240318,3.504184604,3.462862995,3.741744146
3.27201023,11.21342367,2.151786773,3.480083488,3.322928809,4.020409629
3.05631344,11.07595401,1.974966934,3.525328517,3.328613147,5.164467946
3.197331179,10.6372242,2.349234456,4.373479161,3.732894119,4.177126784
3.653775383,10.6835468,2.752588285,3.644964069,3.941884723,3.696050895
3.269664098,11.00713144,2.374722891,3.43935046,3.515795279,3.630480282
4.333287492,10.95017776,2.436021172,3.283233754,3.432835199,3.87489979
5.762732081,11.7909182,2.265962064,3.732857954,3.142885417,3.353516228
4.024748769,11.09728333,2.124908347,3.355511915,3.312216464,4.205064282
4.186756622,11.08332933,1.927259205,3.288980745,3.696690321,5.377112553
3.191981561,10.84638293,2.354934394,3.335192237,3.244002588,4.496284463
3.096260492,10.81762366,2.502669696,3.556439515,3.24846413,4.120135233
3.157294437,10.7157775,2.098735552,3.380137965,3.294674076,3.672500361
3.347412813,10.67102256,1.945118409,3.367989101,3.401437927,3.660139967
3.039078124,10.91349809,1.960588092,4.082849953,3.506728221,3.524171833
2.952690713,10.74039669,2.238986699,4.497130003,3.375880733,3.360014204
2.916037176,10.78890789,1.947930997,3.471180364,3.319326576,3.43461306
3.105566099,10.91805299,1.989147382,5.098781735,3.460541274,4.258006994
3.578545608,10.64531493,1.936335176,3.543401476,3.341974881,3.815175783
3.858370941,12.46644454,2.046068713,3.196025375,3.252499141,3.696276832
2.965885248,10.5420717,2.794064891,3.239366654,4.367158052,3.413421817
3.262282949,10.83988018,2.247635694,3.48061442,3.818060186,3.524226144
2.903464008,10.762219,1.995767817,3.385987971,3.411918256,3.2425761
2.79053551,11.25534604,2.003507389,3.268945891,3.075530026,3.437747177
3.014765564,10.83230475,2.270735128,3.509723693,2.992490392,3.88851526
3.575367074,10.80183039,2.469864424,3.476388279,2.986697152,3.764210124
3.047471099,10.36044343,2.053099986,3.831519343,3.082311807,5.074777484
3.463493843,10.65783443,1.842363526,3.34502447,3.050018005,3.700161435
3.865595058,10.82604674,1.862010099,3.378964651,3.248541925,3.504558537
2.982227184,10.61538549,2.288871499,3.194396328,3.089177024,3.568211716
3.012967978,10.7080484,2.102200855,3.221578348,3.039304379,3.076813027
3.144748721,10.54181406,1.817810232,3.68601653,4.051995035,3.039958518
2.85721097,10.4856232,1.774475574,3.439268216,3.378398787,3.383819271
2.644649258,10.76985057,2.233420845,3.459045984,3.162769243,3.303315964
2.889585365,11.26701507,1.933227405,3.395716667,3.243921027,3.316048842
3.220171642,11.03200479,1.774386365,3.388711818,3.047842357,3.334376242
